note,heading_source,calibration_mode,seed,file,extinction,final_x,final_y,dist_to_endpoint_m
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,samples,7,pdr_log_0805_1441.csv,14,251.7,224.5,49.05
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,samples,7,pdr_log_0805_1442.csv,0,649.2,135.8,13.35
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,samples,777,pdr_log_0805_1438.csv,25,430.8,238.8,34.16
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,samples,777,pdr_log_0805_1441.csv,13,245.7,224.0,49.55
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,samples,777,pdr_log_0805_1442.csv,0,649.6,128.0,13.24
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,walking,1,pdr_log_0805_1438.csv,6,37.7,234.0,67.68
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,walking,1,pdr_log_0805_1441.csv,2,607.9,107.2,16.86
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,walking,1,pdr_log_0805_1442.csv,0,647.1,129.9,13.48
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,walking,100,pdr_log_0805_1438.csv,6,34.8,231.3,67.89
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,walking,100,pdr_log_0805_1441.csv,2,598.8,108.8,17.66
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,walking,100,pdr_log_0805_1442.csv,1,672.4,141.3,11.43
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,walking,2024,pdr_log_0805_1438.csv,5,34.4,237.7,68.01
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,walking,2024,pdr_log_0805_1441.csv,2,598.2,110.0,17.71
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,walking,2024,pdr_log_0805_1442.csv,0,652.8,138.4,13.07
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,walking,42,pdr_log_0805_1438.csv,5,35.5,236.7,67.91
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,walking,42,pdr_log_0805_1441.csv,2,599.3,109.6,17.61
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,walking,42,pdr_log_0805_1442.csv,0,638.2,117.2,14.19
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,walking,7,pdr_log_0805_1438.csv,5,35.8,236.7,67.88
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,walking,7,pdr_log_0805_1441.csv,2,599.0,109.7,17.64
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,walking,7,pdr_log_0805_1442.csv,0,659.9,120.0,12.3
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,walking,777,pdr_log_0805_1438.csv,5,37.1,236.5,67.76
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,walking,777,pdr_log_0805_1441.csv,1,609.7,105.9,16.71
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,walking,777,pdr_log_0805_1442.csv,0,672.1,117.0,11.22
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,samples,1,pdr_log_0805_1438.csv,17,444.7,234.6,32.89
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,samples,1,pdr_log_0805_1441.csv,11,447.8,223.1,32.32
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,samples,1,pdr_log_0805_1442.csv,4,621.2,109.8,15.69
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,samples,100,pdr_log_0805_1438.csv,17,446.3,239.0,32.88
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,samples,100,pdr_log_0805_1441.csv,11,449.6,225.6,32.23
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,samples,100,pdr_log_0805_1442.csv,3,663.0,130.5,12.09
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,samples,2024,pdr_log_0805_1438.csv,17,442.0,236.1,33.15
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,samples,2024,pdr_log_0805_1441.csv,12,444.0,224.2,32.66
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,samples,2024,pdr_log_0805_1442.csv,4,625.8,109.1,15.29
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,samples,42,pdr_log_0805_1438.csv,17,433.9,238.8,33.9
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,samples,42,pdr_log_0805_1441.csv,11,447.1,224.7,32.42
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,samples,42,pdr_log_0805_1442.csv,4,633.6,109.1,14.61
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,samples,7,pdr_log_0805_1438.csv,17,442.0,236.9,33.17
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,samples,7,pdr_log_0805_1441.csv,13,445.4,224.2,32.55
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,samples,7,pdr_log_0805_1442.csv,4,636.3,109.3,14.37
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,samples,777,pdr_log_0805_1438.csv,17,433.3,237.8,33.92
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,samples,777,pdr_log_0805_1441.csv,12,445.2,225.3,32.59
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,samples,777,pdr_log_0805_1442.csv,4,641.8,109.6,13.89
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,walking,1,pdr_log_0805_1438.csv,17,444.7,234.6,32.89
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,walking,1,pdr_log_0805_1441.csv,11,447.8,223.1,32.32
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,walking,1,pdr_log_0805_1442.csv,4,621.2,109.8,15.69
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,walking,100,pdr_log_0805_1438.csv,17,446.3,239.0,32.88
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,walking,100,pdr_log_0805_1441.csv,11,449.6,225.6,32.23
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,walking,100,pdr_log_0805_1442.csv,3,663.0,130.5,12.09
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,walking,2024,pdr_log_0805_1438.csv,17,442.0,236.1,33.15
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,walking,2024,pdr_log_0805_1441.csv,12,444.0,224.2,32.66
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,walking,2024,pdr_log_0805_1442.csv,4,625.8,109.1,15.29
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,walking,42,pdr_log_0805_1438.csv,17,433.9,238.8,33.9
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,walking,42,pdr_log_0805_1441.csv,11,447.1,224.7,32.42
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,walking,42,pdr_log_0805_1442.csv,4,633.6,109.1,14.61
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,walking,7,pdr_log_0805_1438.csv,17,442.0,236.9,33.17
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,walking,7,pdr_log_0805_1441.csv,13,445.4,224.2,32.55
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,walking,7,pdr_log_0805_1442.csv,4,636.3,109.3,14.37
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,walking,777,pdr_log_0805_1438.csv,17,433.3,237.8,33.92
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,walking,777,pdr_log_0805_1441.csv,12,445.2,225.3,32.59
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",gyro,walking,777,pdr_log_0805_1442.csv,4,641.8,109.6,13.89
