# 20260830_180500版の再検証。前回はroute_constraint_mode=none(既定、経路帯制約が実質オフ)で計測してしまっていたミスを修正し、route_constraint_mode=enforceで正しく再測定した。map_configs/kanri_4f.json、route_source=auto+auto_route_exclude_wide_rooms、pdr_log_0805_1438/1441/1442.csv対象、seed={1,7,42,100,777,2024}。uniform_equiv=sigma=100000度(数学的に一様乱択と等価、2026-08-16実装時の完全一様乱択np.random.randintの代替)。ユーザーからの聞き取りで判明した正解経路(start(124,229)→turn1(420,230)→turn2(420,111)→end(800,114)、弧長795px)への横方向誤差・弧長進捗をCHANGELOG.md 2026-08-30(3)項で分析。結論: uniform_equivが1442で横方向誤差11.4px・弧長484±7.2px・全滅0回と最良、1441でも横方向誤差11.0px・弧長195.6±7.4pxと極めて安定。方位重み付け(sigma10〜60)はいずれの条件でもuniform_equivを明確には上回らず、1438では横方向誤差が悪化(sigma10/20で35px台)。方位重み付け分岐選択は現時点で明確な改善効果が確認できていない。
condition,seed,file,x,y,extinctions
sigma30,100,pdr_log_0805_1438.csv,437.3,146.7,4
sigma30,100,pdr_log_0805_1441.csv,367.0,238.6,0
sigma30,100,pdr_log_0805_1442.csv,522.0,135.8,0
sigma30,777,pdr_log_0805_1438.csv,282.1,238.3,2
sigma30,777,pdr_log_0805_1441.csv,394.4,208.9,1
sigma30,777,pdr_log_0805_1442.csv,511.9,130.5,0
sigma30,2024,pdr_log_0805_1438.csv,121.8,240.9,0
sigma30,2024,pdr_log_0805_1441.csv,336.7,238.6,4
sigma30,2024,pdr_log_0805_1442.csv,483.9,135.5,0
sigma45,1,pdr_log_0805_1438.csv,368.9,237.9,2
sigma45,1,pdr_log_0805_1441.csv,307.8,240.8,3
sigma45,1,pdr_log_0805_1442.csv,489.8,124.1,0
sigma45,7,pdr_log_0805_1438.csv,143.2,241.1,1
sigma45,7,pdr_log_0805_1441.csv,414.7,218.5,2
sigma45,7,pdr_log_0805_1442.csv,480.2,119.3,0
sigma45,42,pdr_log_0805_1438.csv,548.5,208.7,2
sigma45,42,pdr_log_0805_1441.csv,333.2,240.8,3
sigma45,42,pdr_log_0805_1442.csv,497.3,128.0,0
sigma45,100,pdr_log_0805_1438.csv,352.7,241.7,2
sigma45,100,pdr_log_0805_1441.csv,352.2,238.4,3
sigma45,100,pdr_log_0805_1442.csv,474.2,123.3,0
sigma45,777,pdr_log_0805_1438.csv,285.3,238.2,2
sigma45,777,pdr_log_0805_1441.csv,302.8,238.9,4
sigma45,777,pdr_log_0805_1442.csv,486.7,121.5,0
sigma45,2024,pdr_log_0805_1438.csv,574.0,128.6,1
sigma45,2024,pdr_log_0805_1441.csv,334.2,239.6,3
sigma45,2024,pdr_log_0805_1442.csv,530.6,136.6,0
sigma60,1,pdr_log_0805_1438.csv,188.8,240.7,1
sigma60,1,pdr_log_0805_1441.csv,319.0,241.2,3
sigma60,1,pdr_log_0805_1442.csv,496.9,123.6,0
sigma60,7,pdr_log_0805_1438.csv,157.9,240.5,1
sigma60,7,pdr_log_0805_1441.csv,337.0,240.2,3
sigma60,7,pdr_log_0805_1442.csv,501.0,122.1,0
sigma60,42,pdr_log_0805_1438.csv,549.5,192.7,2
sigma60,42,pdr_log_0805_1441.csv,318.0,236.4,4
sigma60,42,pdr_log_0805_1442.csv,497.8,120.5,0
sigma60,100,pdr_log_0805_1438.csv,353.3,240.0,2
sigma60,100,pdr_log_0805_1441.csv,304.8,240.7,3
sigma60,100,pdr_log_0805_1442.csv,490.7,121.8,0
sigma60,777,pdr_log_0805_1438.csv,282.4,238.8,2
sigma60,777,pdr_log_0805_1441.csv,308.6,241.0,3
sigma60,777,pdr_log_0805_1442.csv,480.7,121.5,0
sigma60,2024,pdr_log_0805_1438.csv,426.9,171.2,2
sigma60,2024,pdr_log_0805_1441.csv,320.2,239.3,3
sigma60,2024,pdr_log_0805_1442.csv,491.0,121.9,0
