note,condition,file,n_mean,extinction_mean,neff_ratio,valid_ratio,final_spread_px,final_x_mean,turning_ratio,run_sec
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed1000_turningnoise,pdr_log_0805_1441.csv,1000.0,0.0,0.7540666666666667,0.7575,7.750827912767335,608.2166666666666,0.810126582278481,2.7410713831583657
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed1000_turningnoise,pdr_log_0805_1442.csv,1000.0,1.5,0.66295,0.6665,85.74832165510102,625.0000000000001,0.8684210526315789,2.7410713831583657
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed250_straightnoise,pdr_log_0805_1438.csv,250.0,15.5,0.451,0.4516666666666666,49.69014657521818,78.36666666666666,0.9809523809523808,2.6639486153920493
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed250_straightnoise,pdr_log_0805_1441.csv,250.0,1.5,0.815,0.8170000000000001,13.261837479524978,612.2833333333333,0.810126582278481,2.6639486153920493
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed250_straightnoise,pdr_log_0805_1442.csv,250.0,9.0,0.568,0.5691666666666667,59.58378414747869,489.51666666666665,0.8684210526315789,2.6639486153920493
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed250_turningnoise,pdr_log_0805_1438.csv,250.0,11.5,0.4218666666666666,0.4228333333333333,2.382155886306907,35.5,0.9809523809523808,2.6876752773920694
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed250_turningnoise,pdr_log_0805_1441.csv,250.0,0.0,0.7330666666666666,0.7358333333333333,22.952327405588587,609.7666666666668,0.810126582278481,2.6876752773920694
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed250_turningnoise,pdr_log_0805_1442.csv,250.0,4.0,0.6373333333333333,0.6403333333333333,90.4884983483168,561.7666666666667,0.8684210526315789,2.6876752773920694
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed500_straightnoise,pdr_log_0805_1438.csv,500.0,13.833333333333334,0.4601333333333333,0.461,35.87859621928743,67.7,0.9809523809523808,2.687542756398519
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed500_straightnoise,pdr_log_0805_1441.csv,500.0,1.6666666666666667,0.7836,0.7853333333333333,22.775432670606584,603.6833333333333,0.810126582278481,2.687542756398519
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed500_straightnoise,pdr_log_0805_1442.csv,500.0,6.0,0.6344,0.6358333333333334,81.69982660120318,569.3166666666667,0.8684210526315789,2.687542756398519
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed500_turningnoise,pdr_log_0805_1438.csv,500.0,10.666666666666666,0.4130666666666666,0.414,1.1834976411749387,36.58333333333333,0.9809523809523808,2.699038465817769
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed500_turningnoise,pdr_log_0805_1441.csv,500.0,0.0,0.7337333333333333,0.7366666666666667,23.05168829681101,610.4666666666666,0.810126582278481,2.699038465817769
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed500_turningnoise,pdr_log_0805_1442.csv,500.0,0.3333333333333333,0.7241333333333332,0.7281666666666666,12.301991708662456,654.75,0.8684210526315789,2.699038465817769
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed600_straightnoise,pdr_log_0805_1438.csv,600.0,13.5,0.4477222222222222,0.4483333333333333,22.98846812353243,47.0,0.9809523809523808,2.7066221237182617
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed600_straightnoise,pdr_log_0805_1441.csv,600.0,1.1666666666666667,0.8085,0.8103333333333332,15.481085233277408,618.5,0.810126582278481,2.7066221237182617
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed600_straightnoise,pdr_log_0805_1442.csv,600.0,8.5,0.5416944444444445,0.5431666666666667,78.78526300436313,495.4666666666667,0.8684210526315789,2.7066221237182617
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed600_turningnoise,pdr_log_0805_1438.csv,600.0,10.166666666666666,0.4178888888888889,0.4191666666666667,3.400098037802244,35.61666666666667,0.9809523809523808,2.693008780479431
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed600_turningnoise,pdr_log_0805_1441.csv,600.0,0.0,0.741361111111111,0.7445,25.8513313648124,608.3166666666667,0.810126582278481,2.693008780479431
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed600_turningnoise,pdr_log_0805_1442.csv,600.0,3.333333333333333,0.6411111111111111,0.6446666666666667,105.2286114451135,566.0500000000001,0.8684210526315789,2.693008780479431
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed750_straightnoise,pdr_log_0805_1438.csv,750.0,13.0,0.4500444444444444,0.4506666666666667,20.23923582220106,44.53333333333334,0.9809523809523808,2.6792321602503457
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed750_straightnoise,pdr_log_0805_1441.csv,750.0,1.5,0.7946666666666666,0.7966666666666665,21.95405049947124,608.1166666666667,0.810126582278481,2.6792321602503457
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed750_straightnoise,pdr_log_0805_1442.csv,750.0,6.333333333333333,0.6040666666666666,0.6051666666666667,85.74080514356433,551.7333333333335,0.8684210526315789,2.6792321602503457
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed750_turningnoise,pdr_log_0805_1438.csv,750.0,10.666666666666666,0.4152888888888889,0.4165,1.6821613081588414,36.73333333333333,0.9809523809523808,2.7180422941843667
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed750_turningnoise,pdr_log_0805_1441.csv,750.0,0.0,0.7424666666666667,0.7458333333333335,21.75349780303541,614.9,0.810126582278481,2.7180422941843667
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed750_turningnoise,pdr_log_0805_1442.csv,750.0,2.5,0.6704444444444445,0.6739999999999999,75.13902004506936,607.4166666666667,0.8684210526315789,2.7180422941843667
